"﻿""Submission Date""",Age range,English level,"Do you have a technical background (science, engineering, etc.)?","Do you have any musical training or studies (tutor, school, conservatory,...)?",How often do you play music?,"Do you record music casually no matter the format (voice notes, demos, etc.)?","Are you <strong>involved</strong> <strong>with others</strong>, or collaborate, <strong>in music recording sometimes</strong>?",What tools or setup do you normally use to record yourself?,Are you familiar with recording in multitrack format?,Do you know what a Digital Audio Workstation (DAW) is?,Have you ever used a Digital Audio Workstation (DAW)?,Which <strong>DAWs or equivalent software for making music</strong> have you used?,Which DAWs have you used?,Which musical instruments do you play and what level?,Which musical instruments do you play and what level?,Can you play using a metronome?,Do you compose/write songs?,"Do you play or rehearse with others (band, ensemble, orchestra, etc.)?",What sort of music do you enjoy playing/recording?,What sort of music do you enjoy playing/recording?,What <strong>device</strong> did you use <strong>to perform the tasks</strong>?,Device model?,Which Operating System?,Operating System version?,Which web browser ?,Browser version?,"<strong>For audio input, or recording, during the test, </strong>which <strong>hardware or equipment</strong> did you use?",What headphones or earphones?,How much time did it take to you to perform all the tasks?,Is it the first time you use or interact with Hi-Audio Online Platform?,Did you need external support to accomplish any of the tasks?,Were there any task/s you didn't know how to complete or did not finish due to lack of information or technical issues? Explain them please,Do you know what is the (round-trip) latency for an audio digital recording and how can it affect you?,Have you ever measured the latency in an audio system before?,Did you use the <strong>platform’s Metronome</strong> feature to make your <strong>recording for Task 2</strong>?,What time signature did you use in case of recording with the metronome?,What <strong>time signature</strong> and <strong>BPM </strong>did you use in case of recording with the metronome?,Did you upload a <strong>guide track</strong> for the recording of <strong>Task 2</strong>?,Which <strong>composition/s</strong> did you record for <strong>Task 2</strong>?,Which <strong>composition/s</strong> did you record for <strong>Task 2</strong>?,Did you explore the interface outside the options related to the tasks?,"Do you have any other comments, feedback or suggestion related to the Hi-Audio Online Platform?",1. I think that I would like to use this system frequently,2. I found the system unnecessarily complex,3. I thought the system was easy to use,4. I think I would need the support of a technical person to use this system,5. I found the various functions were well integrated,6. I thought there was too much inconsistency in this system,7. I would imagine that most people would learn to use this system very quickly,8. I found the system very cumbersome to use,9. I felt very confident using the system,10. I needed to learn a lot of things before I could get going with this system,"Mental Demand (0 = Low, 100 = High)","Physical Demand (0 = Low, 100 = High)","Temporal Demand (0 = Low, 100 = High)","Own Performance (0 = Low, 100 = High)","Effort (0 = Low, 100 = High)","Frustration Level (0 = Low, 100 = High)",Submission ID (anonymized),Consent and Ethical Notice
"Dec 19, 2025",18-25,B2 Upper intermediate,YES,YES,Weekly,,YES,"Ableton on a computer, a microphone, a sound card",,,YES,"Software/Tool name: Ableton
Software/Tool name: Musescore
",,,"Instrument: Trumpet, Level: 4
Instrument: Piano, Level: 2
Instrument: Trombone, Level: 2
Instrument: Recorder, Level: 3
",YES,YES,YES,"Type of music: Soundtracks
Type of music: Classical 
Type of music: Pop & rock
Type of music: Jazz
",,Mobile phone,Google Pixel 9A,Android,Android 16,Chromium/Chrome,Chrome 143,Phone's built-in microphone,Marshall Major IV,Between 20 and 30 minutes,YES,YES,N/A,YES,YES,YES,,,NO,"Composition title: Au clair de la lune
",,YES,"Most menus were very hard to find at first.

I had no problems finding how to record myself and to manipulate every ""music related"" things.",3,4,3,2,2,2,1,2,3,4,77,11,25,74,29,77,6419757055218539765,Accepted
"Dec 19, 2025",18-25,C2 Proficiency,YES,YES,Weekly,,NO,"Most of the time my the dictaphone on my phone (seldom), very rarely Garage Band",,,YES,"Software/Tool name: Garage Band
",,,"Instrument: Piano, Level: 4
Instrument: Singing, Level: 4
",YES,NO,YES,"Type of music: Soft rock
Type of music: Pop
Type of music: Emo rock
Type of music: Alternative / indie rock
",,Laptop,Dell inspiron 15 3511,Windows,Windows 11,Firefox,Firefox 145.0.2 (64 bits),Bose 700 headphones microphone and laptop built-in microphone,Bose 700 headphones,More than 60 minutes,YES,NO,,YES,NO,YES,,,YES,"Composition title: Landslide - Fleetwood Mac - Singing + Backing Guitar
Composition title: The Chain - Singing solo + metronome (76bpm, 4/4)
",,YES,"- It really took my a while to find the ""clone"" button for a template in my navigator (top right corner)

- I didn't understand why not all track in the ""Happy Birthday Languages"" collection where clonable templates

- I found the interface structure a bit hard to understand and navigate at first. I think using the '/' slash symbol before the name of tabs on the top part is confusing, it could look like a navigator path when in fact the tabs are unrelated

- I encountered a bug while recording, the ""Record"" button was frozen (gray-ish and couldn't be clicked)",3,3,2,1,2,4,5,3,2,1,65,10,20,65,70,85,6419627128718388274,Accepted
"Dec 17, 2025",18-25,B2 Upper intermediate,YES,YES,Weekly,,NO,"My phone/computer without earphone for prototypes

My computer with a MOTU M2 and fl studio when i want to be clean (it's been a while since I switched to linux where fl studio isnt compatible :/)",,,YES,"Software/Tool name: FL studio
Software/Tool name: Reaper
",,,"Instrument: Guitar, Level: 3
Instrument: Violin, Level: 1
",NO,YES,YES,"Type of music: Rock
Type of music: Prog
Type of music: Punk
Type of music: Lo-fi
",,Laptop,Asus Vivobook S15,GNU/Linux based,Debian 11,Chromium/Chrome,Google chrome 141.0.7390.122,Built-in microphone,Brorrowed from LaScène,Between 40 and 60 minutes,YES,NO,"Added metronome to multitrack recording

The latency test wasn't working, so I moved the tracks manually (I might did the manipulation wrong)",YES,NO,YES,,"Time signature: 1/4, BPM: 109
",NO,"Composition title: flying away
Composition title: step in
",,YES,"Poor UX 🚶

I took too long to locate the buttons for the latency test, metronome and composition info

Similarly, when it comes to navigating other people s music, the top buttons are once again clear

The fact that there are slashes between the buttons is very disorienting, it looks like a thread of Ariadne when it is not one at all",3,4,1,2,3,5,1,5,3,2,72,29,27,23,10,77,6417715954425401224,Accepted
"Dec 16, 2025",18-25,C2 Proficiency,YES,YES,Weekly,,NO,I have a keyboard that can record itself and a Blue yeti mic for voice.,,,YES,"Software/Tool name: Audacity
",,,"Instrument: Piano, Level: 5
",YES,NO,NO,"Type of music: Classic
Type of music: Video game soundtracks
Type of music: Movie soundtracks
Type of music: Rock
Type of music: Jazz
",,Laptop,Lordi Région (basically a free HP laptop given to me in highschool),GNU/Linux based,Ubuntu,Firefox,Firefoc 145.0.2,Laptop built-in microphone,None,Less than 20 minutes,YES,NO,No,YES,NO,NO,,,YES,"Composition title: Via purifico
",,NO,,1,1,4,1,4,2,5,1,5,1,0,0,10,100,0,0,6417239988428702414,Accepted
"Dec 15, 2025",18-25,C1 Advanced,YES,YES,Weekly,,YES,fl studio,,,YES,"Software/Tool name: fl studio
",,,"Instrument: piano, Level: 5
",YES,YES,YES,"Type of music: beatmaking
",,Laptop,asus zenbook,Windows,11,Microsoft Edge,idk,built in,earphones,Less than 20 minutes,YES,NO,clone,YES,YES,NO,,,YES,"Composition title: maelys3
",,NO,,3,3,2,3,3,3,2,3,2,3,52,33,30,54,28,21,6416169389419749315,Accepted
"Dec 15, 2025",18-25,C1 Advanced,YES,YES,Weekly,,YES,"Ableton, Reaper",,,YES,"Software/Tool name: Ableton
Software/Tool name: Flstudio
",,,"Instrument: Piano, Level: 5
Instrument: Bass, Level: 1
Instrument: Drums, Level: 3
",YES,YES,YES,"Type of music: jazz
Type of music: fusion jazz
Type of music: funk
Type of music: neo soul
",,Laptop,Lenovo,Windows,Windows 11,Other,Brave Latest,Scarlett Sound Card,LG tone fp5,Between 30 and 40 minutes,YES,YES,"The first one, lacking the happy birthday sample",YES,NO,YES,,"Time signature: , BPM: 145
",NO,"Composition title: Spain (Chick Korea)
",,NO,The user experience is very unclear and not intuitive,1,4,1,1,3,4,1,5,1,3,30,12,25,79,57,87,6416147786326656385,Accepted
"Dec 12, 2025",26-32,B2 Upper intermediate,YES,YES,Weekly,,NO,mobile phone,,,NO,"Software/Tool name: DJ controller
",,,"Instrument: piano, Level: 2
Instrument: drum, Level: 2
",YES,NO,YES,"Type of music: pop
",,Laptop,MacBook Pro (14-inch 2024),macOS,MacOS Sequoia 15.6.1,Chromium/Chrome,Chrome 142 on macOS (Catalina),built-in microphone of macbook pro,beyerdynamic headphones,Less than 20 minutes,YES,YES,no,YES,NO,NO,,"Time signature: , BPM: 140
",YES,"Composition title: 起风了
",,YES,"It's good, I like the test",3,1,5,1,5,1,5,5,4,1,50,53,0,82,21,0,6413633065228695943,Accepted
"Dec 12, 2025",18-25,C1 Advanced,YES,YES,Weekly,,YES,"garage band

audacity",,,NO,"Software/Tool name: Garage band
Software/Tool name: LMMS
",,,"Instrument: Piano, Level: 5
Instrument: Violin, Level: 3
",YES,NO,YES,"Type of music: Classical music
Type of music: Metal
",,Laptop,MacBook Air M3,macOS,macOS Tahoe 26.1,Chromium/Chrome,Brave Browser v1.85.116,laptop built-in microphone,samsung earphones,Between 30 and 40 minutes,YES,YES,,YES,NO,NO,,,YES,"Composition title: Au clair de la lune
",,NO,"Having shortcuts can be very helpful for keyboard users (ex: space to pause).

Maybe having a functionality to normalize audio may be helpful for the recording. My voice was very low compared to other tracks.",2,2,4,3,3,2,4,2,3,1,65,21,31,41,50,71,6413564565214864018,Accepted
"Dec 11, 2025",18-25,C1 Advanced,YES,YES,Monthly,,YES,"Either the microphone from the music association of my school, either my own microphone, but it's rather cheap and not great whatsoever. I also use my phone when I have ideas while in the subway or stuff like this.",,,YES,"Software/Tool name: Garageband
Software/Tool name: FL Studio
Software/Tool name: Ableton
Software/Tool name: Reaper
",,,"Instrument: Guitar, Level: 2
Instrument: Piano, Level: 1
Instrument: Ukulele, Level: 1
Instrument: Bass, Level: 1
",YES,YES,NO,"Type of music: Rap
",,Laptop,MacBook Air 2021,macOS,macOS Sonoma 14.6.1,Safari,Safari 17.6,laptop microphone,old apple wire heaphones,Between 20 and 30 minutes,YES,NO,"Yes. All in all, the website lacks clarity. There was no button to save your creations, therefore I didn't know (although I supposed) that it was automatic. The buttons for useful features were placed in weird places : the clone button alone in the top right corner, how to add contributors, such things.",NO,NO,NO,,,YES,"Composition title: Saiyan Remix - Angele (Heuss l'enfoire, Gazo)
",,YES,,1,3,1,4,3,2,1,4,3,1,75,0,50,100,0,25,6412896872714817218,Accepted
"Dec 7, 2025",18-25,C1 Advanced,YES,YES,Weekly,,YES,sound card + ableton on my computer with a keyboard usually,,,NO,"Software/Tool name: Ableton
",,,"Instrument: guitar, Level: 4
Instrument: bass, Level: 2
Instrument: drums, Level: 3
Instrument: piano, Level: 2
",YES,YES,YES,"Type of music: pop
Type of music: rock
",,Laptop,lenovo,GNU/Linux based,Linux Fedora,Firefox,firefox 147.0a1,laptob built-in microphone,wired earbuds,Between 20 and 30 minutes,YES,YES,I didn't really know in which section I was recording,NO,NO,NO,,,YES,"Composition title: somebody that i used to know
",,NO,I didn't understand the idea behind the platform quite well,3,2,5,3,3,3,4,1,4,1,19,13,43,50,64,27,6409505034176280614,Accepted
"Dec 7, 2025",18-25,C1 Advanced,YES,YES,Weekly,,YES,"Reaper with sound card in La Scène, Audacity, loop pedal with usb to extract the audio, recorder on the phone",,,YES,"Software/Tool name: Reaper
",,,"Instrument: Guitar, Level: 4
Instrument: Horn, Level: 3
Instrument: Bass, Level: 3
Instrument: Drums, Level: 1
",YES,YES,YES,"Type of music: Jazz (fusion especially), rock, metal, blues
",,Desktop,Asus Tuf Gaming F15,Windows,Windows 11,Microsoft Edge,Edge Version 142.0.3595.94,Microphone from my earphones (pretty bad),"I don't know, it has no brand name on it",Between 30 and 40 minutes,YES,NO,,YES,NO,YES,,"Time signature: 2/4, BPM: 110
",NO,"Composition title: Horizons - Genesis
",,YES," - The Clone button is insanely hard to find

 - I don't think we can edit the privacy of a collection after creating it (but I can be wrong)",3,2,2,3,4,2,2,2,2,3,50,5,30,40,75,60,6409432612171376683,Accepted
"Dec 6, 2025",18-25,C2 Proficiency,YES,YES,Weekly,,YES,I mostly record MIDI from my Keyboard into Ableton Live. I also have a AKG microhpone and a Focusrite Scarlett sound card.,,,YES,"Software/Tool name: Ableton Live
",,,"Instrument: Drums, Level: 4
Instrument: Piano, Level: 3
",YES,YES,YES,"Type of music: Mostly Jazz Fusion, Rock. I also produce a lot of EDM and a bit of orchestral / film music.
",,Desktop,Custom built PC,Windows,Windows 10,Other,Brave 1.85.111,"AKG C214, Focusrite Scarlett 2i4",Sony MDR7506,Between 20 and 30 minutes,YES,NO,"I didn't really get the very first task. I didn't have any ""existing composition"" to work with. So I created my own (and added the email like for the 2nd task)",YES,YES,NO,,,YES,"Composition title: The Goose Steps High
",,YES,,2,1,3,1,4,2,4,3,5,2,80,15,31,89,69,16,6408690289642566299,Accepted
